knowledge_id,title,content,key_formulas,common_mistakes,teaching_points
K001,数一数（1-10的数数）,数数是数学学习的基础，从1数到10要建立数与物的对应关系。可以通过数小棒、数手指等实物操作来理解。数的时候要做到手口一致，一个物体对应一个数，数到最后一个物体对应的数就是总数。,无,"1. 数的时候手口不一致，漏数或多数
2. 数完后不知道总数是多少
3. 不会按顺序数数，跳数","1. 使用实物教具进行数数练习
2. 强调""最后数到几就是几""
3. 从慢到快，循序渐进"
K002,比多少（同样多、多、少）,比较两个物体数量的多少，可以用一一对应的方法。把两组物体一一配对，如果都配上了就是同样多；如果一组有剩余，这组就多，另一组就少。也可以用数数的方法，数出两组物体的数量再比较。,无,"1. 不会用一一对应方法比较
2. 只看物体排列长度，不数实际数量
3. 分不清""多""和""少""的概念","1. 通过连线练习一一对应
2. 强调""一一配对""的思想
3. 结合生活场景进行比较"
K003,1-5的认识（基数和序数）,"1-5各数既可以表示数量（基数），也可以表示顺序（序数）。基数表示""有几个""，如""3个苹果""；序数表示""第几个""，如""第3个""。要会读、会写1-5各数字，知道每个数的组成。",无,"1. 混淆基数和序数的概念
2. 数字书写不规范
3. 不理解数的组成","1. 通过排队游戏理解序数
2. 强调""几个""和""第几个""的区别
3. 规范数字书写格式"
K004,1-5的加减法（加法含义和减法含义）,"加法表示把两个数合并成一个数，如""2+3""表示把2和3合起来，结果是5。减法表示从总数里去掉一部分，求剩下的部分，如""5-2""表示从5里面去掉2，结果是3。要理解""合起来用加法，去掉用减法""。",无,"1. 不理解加减法的含义
2. 计算时手指计数错误
3. 分不清什么时候用加法什么时候用减法","1. 通过摆小棒理解加减法含义
2. 强调""合起来用加法，去掉用减法""
3. 多做看图列式练习"
K005,认识立体图形（长方体、正方体、圆柱、球）,长方体有6个面，每个面都是长方形（可能有两个面是正方形），相对的面完全相同。正方体有6个面，每个面都是正方形，大小完全相同。圆柱有两个圆形的底面和一个曲面，能滚动。球是完全圆形的立体，能向任意方向滚动。,无,"1. 分不清长方体和正方体
2. 把圆柱和球混淆
3. 不会描述立体图形的特征","1. 通过实物观察和触摸
2. 引导描述""面、棱、顶点""
3. 玩分类游戏加深理解"
K006,6-10的认识（数的组成）,6-10各数的组成是指一个数可以分成几和几。例如6可以分成1和5、2和4、3和3。理解数的组成是学习加减法的基础，要熟练掌握10以内各数的组成。,无,"1. 数的组成记忆不熟练
2. 不会有序地说出数的组成
3. 混淆分与合","1. 使用分合式卡片练习
2. 强调有序思考
3. 通过游戏巩固记忆"
K007,6-10的加减法（一图四式）,"根据一幅图可以写出两个加法算式和两个减法算式，这就是""一图四式""。例如：左边4个苹果，右边2个苹果，可以写出4+2=6、2+4=6、6-4=2、6-2=4。要理解加法交换律和加减法之间的关系。",无,"1. 写不出四个算式
2. 减法算式容易出错
3. 不理解加减法的互逆关系","1. 先看图说出""合起来""和""去掉""
2. 强调加法交换律
3. 理解加减法的互逆关系"
K008,连加连减（三个数的加减）,"连加就是把三个数连续加起来，如""2+3+4""，先算2+3=5，再算5+4=9。连减就是从一个数里连续减去两个数，如""9-3-4""，先算9-3=6，再算6-4=2。计算时要按从左到右的顺序依次计算。",无,"1. 不会分步计算
2. 第二步计算错误
3. 不理解连加连减的含义","1. 强调""从左到右""的顺序
2. 分步写出计算过程
3. 通过情境图理解含义"
K009,加减混合运算,"加减混合运算就是在一个算式里既有加法又有减法，如""4+3-2""。计算时按从左到右的顺序依次计算，先算4+3=7，再算7-2=5。也可以根据算式的含义理解运算顺序。",无,"1. 运算顺序错误
2. 第二步计算容易出错
3. 不理解混合运算的含义","1. 强调""从左到右""依次计算
2. 分步写出每一步结果
3. 结合情境理解加减混合"
K010,11-20各数的认识（十加几）,11-20各数都是由一个十和几个一组成的。11是1个十和1个一，12是1个十和2个一……20是2个十。十加几就是十几，如10+3=13。要会读、会写11-20各数，知道数的组成。,10+n=十几,"1. 读数时漏掉""十""字
2. 数字书写不规范
3. 不理解数的组成","1. 用小棒捆十的方法理解
2. 强调""十""的概念
3. 规范数字书写"
K011,认识钟表（整时和半时）,钟表上有12个数字，有两根针：短针是时针，长针是分针。整时的时候，分针指向12，时针指向几就是几时，如分针指向12、时针指向3就是3时。半时的时候，分针指向6，时针在两个数字中间，过了几就是几时半。,无,"1. 分不清时针和分针
2. 半时的时候分不清是前一个数字还是后一个数字
3. 不会用电子表表示时间","1. 强调""短针是时针，长针是分针""
2. 通过实物钟表观察
3. 多做读写时间练习"
K012,9加几（凑十法）,"计算9加几用""凑十法""：把另一个数分成1和几，先算9+1=10，再算10加剩下的数。例如9+4，把4分成1和3，先算9+1=10，再算10+3=13。凑十法是20以内进位加法的核心方法。",9+n=10+(n-1),"1. 不会用凑十法
2. 拆分错误
3. 忘记加剩下的数","1. 用小棒演示凑十过程
2. 强调""看大数，拆小数，凑成十，算得数""
3. 多做凑十练习"
K013,8、7、6加几（凑十法）,计算8、7、6加几同样用凑十法：看大数，拆小数，凑成十，算得数。例如8+5，把5分成2和3，先算8+2=10，再算10+3=13。7+5把5分成3和2，先算7+3=10，再算10+2=12。,"8+n=10+(n-2)
7+n=10+(n-3)","1. 不知道拆几凑十
2. 拆分错误
3. 第二步计算错误","1. 总结""8凑2、7凑3、6凑4""
2. 强调凑十的步骤
3. 通过口诀帮助记忆"
K014,5、4、3、2加几（交换加数）,计算5、4、3、2加几时，可以用交换加数的方法，把小数放在前面变成大数放在前面，这样更容易计算。例如5+8，可以交换成8+5，用凑十法算出8+5=13，所以5+8=13。,a+b=b+a,"1. 不会交换加数
2. 凑十法不熟练
3. 计算速度慢","1. 强调""交换加数位置，和不变""
2. 优先用凑十法计算大数加小数
3. 提高计算熟练度"
K015,解决问题（加法应用题）,"加法应用题是把两个部分合起来求总数。解题步骤：1. 找出两个已知的部分；2. 确定求总数；3. 列出加法算式；4. 计算结果并作答。常见关键词：""一共""、""合起来""、""总共""。",部分+部分=总数,"1. 分不清用加法还是减法
2. 找不到关键信息
3. 忘记作答","1. 圈出已知条件和问题
2. 强调""合起来用加法""
3. 规范解题格式"
K016,认识平面图形（长方形、正方形、三角形、圆）,长方形有4条边，对边相等，4个角都是直角。正方形有4条边，四条边都相等，4个角都是直角。三角形有3条边，3个角。圆是一条封闭的曲线，没有角。要能从实物中识别这些平面图形。,无,"1. 分不清长方形和正方形
2. 把立体图形和平面图形混淆
3. 不会描述图形特征","1. 通过描印立体图形的面认识平面图形
2. 用小棒拼摆图形
3. 强调图形的特征"
K017,20以内的退位减法（破十法）,"计算20以内的退位减法用""破十法""：把被减数分成10和几，先用10减去减数，再把结果和剩下的几相加。例如13-5，把13分成10和3，先算10-5=5，再算5+3=8。",10-n=?; ?+剩下的数=结果,"1. 不会拆分被减数
2. 第二步忘记加剩下的数
3. 破十后计算错误","1. 用小棒演示破十过程
2. 强调""先破十，后相加""
3. 多做破十练习"
K018,十几减9（破十法）,计算十几减9时，用破十法：把十几分成10和几，10-9=1，再用1加上剩下的几。例如15-9，把15分成10和5，10-9=1，1+5=6。十几减9的结果就是被减数个位上的数加1。,10-9=1; 1+个位数字=结果,"1. 不会拆分
2. 忘记加个位数字
3. 计算错误","1. 用小棒演示
2. 总结规律
3. 多做练习"
K019,十几减8、7、6（想加算减）,"""想加算减""是计算减法的另一种方法。计算十几减8、7、6时，可以想几加8、7、6等于被减数。例如13-8，想8+5=13，所以13-8=5。这种方法需要熟练掌握20以内的进位加法。",被减数=减数+差; 差=被减数-减数,"1. 加法不熟练
2. 不会想加算减
3. 计算错误","1. 先巩固进位加法
2. 强调""想加算减""
3. 对比破十法"
K020,十几减5、4、3、2（想加算减）,"计算十几减5、4、3、2时，同样可以用""想加算减""的方法。例如12-5，想5+7=12，所以12-5=7。也可以直接用破十法，方法选择取决于个人熟练程度。",被减数=减数+差,"1. 加法不熟练
2. 选择方法不当
3. 计算错误","1. 灵活选择方法
2. 强调""想加算减""
3. 提高计算速度"
K021,分类与整理（单一标准分类）,分类就是把相同特征的物体放在一起。单一标准分类是指按一个标准进行分类，如按颜色、形状、大小等。分类后可以用简单的统计表记录分类结果。,无,"1. 找不到分类标准
2. 分类不完整
3. 不会记录结果","1. 观察物体特征
2. 确定分类标准
3. 用统计表记录"
K022,100以内数的认识（数数、数的组成）,100以内的数由几个十和几个一组成。例如35是3个十和5个一。数数时可以一个一个地数，也可以十个十个地数。要会读、会写100以内的数。,无,"1. 数数时漏数或多数
2. 不理解数的组成
3. 读数写数错误","1. 用小棒捆十
2. 强调数的组成
3. 规范读写"
K023,读数和写数（数位顺序）,"读数和写数都从高位起。读数时，十位上是几就读几十，个位上是几就读几。写数时，十位上是几就写几，个位上是几就写几。例如35读作""三十五""，写作""35""。",无,"1. 读写顺序错误
2. 漏写0
3. 读写错误","1. 强调从高位起
2. 对照数位表
3. 多做练习"
K024,数的大小比较（多得多、少得多、差不多）,"比较两个数的大小：先看十位上的数，十位上的数大的那个数就大；十位上的数相同，再看个位上的数。""多得多""表示相差很多，""少得多""表示少很多，""差不多""表示相差不大。",无,"1. 比较方法错误
2. 分不清""多得多""和""差不多""
3. 不会用语言描述","1. 用计数器对比
2. 结合生活实例
3. 练习描述"
K025,认识人民币（元角分）,人民币的单位有元、角、分。1元=10角，1角=10分。要认识各种面值的人民币，会进行简单的换算。,1元=10角; 1角=10分,"1. 分不清元角分
2. 单位换算错误
3. 不会辨认人民币","1. 认识实物人民币
2. 多做换算练习
3. 模拟购物"
K026,简单的计算（元角分换算）,进行元角分的计算时，要注意单位统一。例如3元+5角=3元5角，7角-3角=4角。也可以把所有单位都换算成分来计算，再换算回元角分。,无,"1. 单位不统一直接计算
2. 换算错误
3. 计算错误","1. 强调单位统一
2. 分步计算
3. 模拟购物练习"
K027,整十数加一位数及相应减法,整十数加一位数，就是把几个十和几个一合起来，结果是几十几。例如30+5=35。相应的减法，就是从几十几里面去掉几个一，结果是几十。例如35-5=30。,无,"1. 计算错误
2. 不理解加减法含义
3. 忘记个位补0","1. 用小棒演示
2. 强调数的组成
3. 多做练习"
K028,整十数加、减整十数,整十数加、减整十数，就是把十位上的数相加或相减，结果末尾添上一个0。例如30+50=80，80-50=30。,无,"1. 忘记末尾添0
2. 计算错误
3. 不理解含义","1. 用小棒捆十
2. 强调十位计算
3. 多做练习"
K029,两位数加一位数（不进位）,两位数加一位数（不进位），先把个位上的数相加，十位上的数不变。例如34+5，个位4+5=9，十位3不变，结果是39。,无,"1. 个位相加错误
2. 十位发生变化
3. 计算错误","1. 用计数器演示
2. 强调个位相加
3. 多做练习"
K030,两位数减一位数（不退位）,两位数减一位数（不退位），先把个位上的数相减，十位上的数不变。例如39-5，个位9-5=4，十位3不变，结果是34。,无,"1. 个位相减错误
2. 十位发生变化
3. 计算错误","1. 用计数器演示
2. 强调个位相减
3. 多做练习"
K031,找规律（图形规律、数字规律）,找规律就是找出事物排列的规则。图形规律可能是形状、颜色、数量的重复变化。数字规律可能是依次加几、减几、乘几、除以几等。要仔细观察，发现规律。,无,"1. 找不到规律
2. 规律判断错误
3. 不会应用规律","1. 仔细观察
2. 尝试列举
3. 验证规律"
K032,长度单位（厘米、米）,厘米和米是常用的长度单位，1米=100厘米。测量较短的物体用厘米作单位，测量较长的物体用米作单位。要会用尺子测量物体的长度，读数时视线要与尺子垂直。,1米=100厘米,"1. 测量时物体没有对齐0刻度
2. 读数时视线不垂直
3. 单位使用不当","1. 用尺子实际测量
2. 强调0刻度的重要性
3. 通过对比感知1厘米和1米"
